PLAYER_ID,PLAYER_NAME,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TIMESTAMP,TIMEFRAME
203497,Rudy Gobert,5,36.6,19.2,14.6,2.0,1.8,2.4,77.1%,0.0%,66.7%,-0.2,2025-02-15T13:26:29.836235,Last 5 games
1630162,Anthony Edwards,5,33.9,25.8,3.8,5.4,0.8,0.2,48.8%,32.4%,91.9%,-5.8,2025-02-15T13:26:29.836235,Last 5 games
1630183,Jaden McDaniels,5,29.6,9.2,2.6,1.8,0.4,0.4,48.6%,33.3%,80.0%,-5.2,2025-02-15T13:26:29.836235,Last 5 games
1626157,Karl-Anthony Towns,2,28.4,10.5,5.5,5.0,0.0,0.5,36.8%,20.0%,83.3%,-11.0,2025-02-15T13:26:29.836235,Last 5 games
201144,Mike Conley,5,28.4,14.2,4.0,4.6,1.4,0.4,49.0%,50.0%,100.0%,2.0,2025-02-15T13:26:29.836235,Last 5 games
1629675,Naz Reid,5,24.5,15.2,5.2,1.2,1.2,0.8,48.3%,45.8%,56.3%,-4.2,2025-02-15T13:26:29.836235,Last 5 games
1629638,Nickeil Alexander-Walker,5,23.1,11.6,1.6,2.8,1.0,0.6,44.7%,37.0%,85.7%,5.2,2025-02-15T13:26:29.836235,Last 5 games
203937,Kyle Anderson,5,18.7,3.4,1.4,2.4,1.2,1.0,26.9%,0.0%,50.0%,-3.8,2025-02-15T13:26:29.836235,Last 5 games
1629162,Jordan McLaughlin,5,14.4,4.2,1.2,2.4,0.8,0.0,66.7%,33.3%,75.0%,7.8,2025-02-15T13:26:29.836235,Last 5 games
1628420,Monté Morris,5,10.6,2.8,1.8,1.2,0.2,0.4,31.3%,44.4%,0.0%,2.4,2025-02-15T13:26:29.836235,Last 5 games
1630568,Luka Garza,3,3.0,3.0,1.3,0.0,0.3,0.0,75.0%,0.0%,100.0%,2.0,2025-02-15T13:26:29.836235,Last 5 games
1631169,Josh Minott,4,2.6,1.8,0.0,0.3,0.0,0.0,60.0%,100.0%,0.0%,0.0,2025-02-15T13:26:29.836235,Last 5 games
1631159,Leonard Miller,4,2.6,1.3,1.5,0.3,0.0,0.0,40.0%,0.0%,50.0%,0.0,2025-02-15T13:26:29.836235,Last 5 games
1631111,Wendell Moore Jr.,4,2.6,1.0,0.5,0.3,0.0,0.0,50.0%,0.0%,0.0%,0.0,2025-02-15T13:26:29.836235,Last 5 games
1630227,Daishen Nix,2,2.0,2.5,0.5,0.5,0.0,0.0,50.0%,50.0%,100.0%,0.5,2025-02-15T13:26:29.836235,Last 5 games
203933,T.J. Warren,1,1.2,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,-6.0,2025-02-15T13:26:29.836235,Last 5 games
