SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2020-21,MIN,20.0,63,27,1511.0,164,367,0.447,72,198,0.364,27,45,0.6,52,180,232,71,35,60,47,172,427,23.984126984126984,2.6031746031746033,5.825396825396825,1.1428571428571428,3.142857142857143,0.42857142857142855,0.7142857142857143,0.8253968253968254,2.857142857142857,3.6825396825396823,1.126984126984127,0.5555555555555556,0.9523809523809523,0.746031746031746,2.7301587301587302,6.777777777777778
2,2021-22,MIN,21.0,70,31,1803.0,255,554,0.46,80,252,0.317,57,71,0.803,76,217,293,79,52,54,75,224,647,25.757142857142856,3.642857142857143,7.914285714285715,1.1428571428571428,3.6,0.8142857142857143,1.0142857142857142,1.0857142857142856,3.1,4.185714285714286,1.1285714285714286,0.7428571428571429,0.7714285714285715,1.0714285714285714,3.2,9.242857142857142
3,2022-23,MIN,22.0,79,79,2417.0,370,716,0.517,107,269,0.398,106,144,0.736,92,215,307,148,74,76,112,272,953,30.59493670886076,4.6835443037974684,9.063291139240507,1.3544303797468353,3.4050632911392404,1.3417721518987342,1.8227848101265822,1.1645569620253164,2.721518987341772,3.8860759493670884,1.8734177215189873,0.9367088607594937,0.9620253164556962,1.4177215189873418,3.4430379746835444,12.063291139240507
4,2023-24,MIN,23.0,72,71,2105.0,307,628,0.489,86,255,0.337,57,79,0.722,56,168,224,101,63,42,87,219,757,29.23611111111111,4.263888888888889,8.722222222222221,1.1944444444444444,3.5416666666666665,0.7916666666666666,1.0972222222222223,0.7777777777777778,2.3333333333333335,3.111111111111111,1.4027777777777777,0.875,0.5833333333333334,1.2083333333333333,3.0416666666666665,10.51388888888889
5,2024-25,MIN,24.0,57,57,1822.0,260,555,0.468,73,220,0.332,70,87,0.805,86,232,318,104,81,50,66,169,663,31.964912280701753,4.56140350877193,9.736842105263158,1.280701754385965,3.8596491228070176,1.2280701754385965,1.5263157894736843,1.5087719298245614,4.0701754385964914,5.578947368421052,1.8245614035087718,1.4210526315789473,0.8771929824561403,1.1578947368421053,2.9649122807017543,11.631578947368421
