SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2021-22,DET,23.0,32,5,389.0,66,147,0.449,16,49,0.327,38,61,0.623,58,42,100,20,9,6,18,55,186,12.15625,2.0625,4.59375,0.5,1.53125,1.1875,1.90625,1.8125,1.3125,3.125,0.625,0.28125,0.1875,0.5625,1.71875,5.8125
2,2022-23,MIN,24.0,28,0,243.0,63,116,0.543,14,39,0.359,41,52,0.788,33,30,63,18,3,2,14,43,181,8.678571428571429,2.25,4.142857142857143,0.5,1.3928571428571428,1.4642857142857142,1.8571428571428572,1.1785714285714286,1.0714285714285714,2.25,0.6428571428571429,0.10714285714285714,0.07142857142857142,0.5,1.5357142857142858,6.464285714285714
3,2023-24,MIN,25.0,25,0,122.0,36,75,0.48,9,32,0.281,18,25,0.72,19,12,31,4,4,1,6,24,99,4.88,1.44,3.0,0.36,1.28,0.72,1.0,0.76,0.48,1.24,0.16,0.16,0.04,0.24,0.96,3.96
4,2024-25,MIN,26.0,24,0,140.0,33,72,0.458,5,23,0.217,11,16,0.688,24,18,42,5,2,1,8,23,82,5.833333333333333,1.375,3.0,0.20833333333333334,0.9583333333333334,0.4583333333333333,0.6666666666666666,1.0,0.75,1.75,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.3333333333333333,0.9583333333333334,3.4166666666666665
