SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2024-25,IND,23.0,5,0,8.0,1,6,0.167,0,3,0.0,1,1,1.0,0,0,0,1,0,0,1,2,3,1.6,0.2,1.2,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.6
2,2024-25,MIN,23.0,3,0,8.0,0,2,0.0,0,0,0.0,0,0,0.0,2,2,4,1,1,0,1,2,0,2.6666666666666665,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0
3,2024-25,TOT,23.0,8,0,16.0,1,8,0.125,0,3,0.0,1,1,1.0,2,2,4,2,1,0,2,4,3,2.0,0.125,1.0,0.0,0.375,0.125,0.125,0.25,0.25,0.5,0.25,0.125,0.0,0.25,0.5,0.375
