SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2019-20,MIN,20.0,30,11,495.0,100,243,0.412,32,97,0.33,37,53,0.698,34,90,124,35,19,22,22,83,269,16.5,3.3333333333333335,8.1,1.0666666666666667,3.2333333333333334,1.2333333333333334,1.7666666666666666,1.1333333333333333,3.0,4.133333333333334,1.1666666666666667,0.6333333333333333,0.7333333333333333,0.7333333333333333,2.7666666666666666,8.966666666666667
2,2020-21,MIN,21.0,70,15,1347.0,304,581,0.523,61,174,0.351,115,166,0.693,82,240,322,72,34,76,69,179,784,19.242857142857144,4.3428571428571425,8.3,0.8714285714285714,2.4857142857142858,1.6428571428571428,2.3714285714285714,1.1714285714285715,3.4285714285714284,4.6,1.0285714285714285,0.4857142857142857,1.0857142857142856,0.9857142857142858,2.557142857142857,11.2
3,2021-22,MIN,22.0,77,6,1215.0,233,476,0.489,57,166,0.343,114,149,0.765,102,199,301,71,40,71,82,172,637,15.779220779220779,3.0259740259740258,6.181818181818182,0.7402597402597403,2.155844155844156,1.4805194805194806,1.9350649350649352,1.3246753246753247,2.5844155844155843,3.909090909090909,0.922077922077922,0.5194805194805194,0.922077922077922,1.0649350649350648,2.2337662337662336,8.272727272727273
4,2022-23,MIN,23.0,68,11,1251.0,310,577,0.537,75,217,0.346,86,127,0.677,73,260,333,77,42,53,92,176,781,18.397058823529413,4.5588235294117645,8.485294117647058,1.1029411764705883,3.1911764705882355,1.2647058823529411,1.8676470588235294,1.0735294117647058,3.823529411764706,4.897058823529412,1.1323529411764706,0.6176470588235294,0.7794117647058824,1.3529411764705883,2.588235294117647,11.485294117647058
5,2023-24,MIN,24.0,81,14,1964.0,406,851,0.477,169,408,0.414,109,148,0.736,73,350,423,106,63,73,111,172,1090,24.246913580246915,5.012345679012346,10.506172839506172,2.0864197530864197,5.037037037037037,1.345679012345679,1.8271604938271604,0.9012345679012346,4.320987654320987,5.222222222222222,1.308641975308642,0.7777777777777778,0.9012345679012346,1.3703703703703705,2.123456790123457,13.45679012345679
6,2024-25,MIN,25.0,56,9,1502.0,305,627,0.486,125,308,0.406,83,104,0.798,59,258,317,115,42,51,68,134,818,26.821428571428573,5.446428571428571,11.196428571428571,2.232142857142857,5.5,1.4821428571428572,1.8571428571428572,1.0535714285714286,4.607142857142857,5.660714285714286,2.0535714285714284,0.75,0.9107142857142857,1.2142857142857142,2.392857142857143,14.607142857142858
