SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2020-21,MIN,19.0,72,55,2314.0,505,1211,0.417,171,520,0.329,211,272,0.776,59,277,336,211,82,36,160,129,1392,32.138888888888886,7.013888888888889,16.819444444444443,2.375,7.222222222222222,2.9305555555555554,3.7777777777777777,0.8194444444444444,3.8472222222222223,4.666666666666667,2.9305555555555554,1.1388888888888888,0.5,2.2222222222222223,1.7916666666666667,19.333333333333332
2,2021-22,MIN,20.0,72,72,2466.0,549,1245,0.441,215,602,0.357,220,280,0.786,62,281,343,275,105,46,190,164,1533,34.25,7.625,17.291666666666668,2.986111111111111,8.36111111111111,3.0555555555555554,3.888888888888889,0.8611111111111112,3.9027777777777777,4.763888888888889,3.8194444444444446,1.4583333333333333,0.6388888888888888,2.638888888888889,2.2777777777777777,21.291666666666668
3,2022-23,MIN,21.0,79,79,2841.0,707,1541,0.459,213,578,0.369,319,422,0.756,47,411,458,350,125,58,259,186,1946,35.962025316455694,8.949367088607595,19.50632911392405,2.6962025316455698,7.3164556962025316,4.037974683544304,5.341772151898734,0.5949367088607594,5.2025316455696204,5.7974683544303796,4.430379746835443,1.5822784810126582,0.7341772151898734,3.278481012658228,2.3544303797468356,24.632911392405063
4,2023-24,MIN,22.0,79,78,2770.0,718,1558,0.461,190,532,0.357,423,506,0.836,52,378,430,405,101,42,241,141,2049,35.063291139240505,9.08860759493671,19.72151898734177,2.4050632911392404,6.734177215189874,5.3544303797468356,6.405063291139241,0.6582278481012658,4.784810126582278,5.443037974683544,5.1265822784810124,1.2784810126582278,0.5316455696202531,3.050632911392405,1.7848101265822784,25.936708860759495
5,2024-25,MIN,23.0,55,55,2022.0,507,1156,0.439,231,562,0.411,275,328,0.838,43,276,319,246,64,36,190,103,1520,36.763636363636365,9.218181818181819,21.01818181818182,4.2,10.218181818181819,5.0,5.963636363636364,0.7818181818181819,5.0181818181818185,5.8,4.472727272727273,1.1636363636363636,0.6545454545454545,3.4545454545454546,1.8727272727272728,27.636363636363637
