PLAYER_ID,PLAYER_NAME,SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME,PER,TS_PCT,THREE_PAR,FTR,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,OWS,DWS,WS,WS_PER_48,OBPM,DBPM,BPM,VORP
201145,Jeff Green,15,2016-17,ORL,30.0,69,11,1534.0,220,558,0.394,53,193,0.275,145,168,0.863,39,175,214,81,37,13,75,103,638,22.231884057971016,3.1884057971014492,8.08695652173913,0.7681159420289855,2.7971014492753623,2.101449275362319,2.4347826086956523,0.5652173913043478,2.536231884057971,3.101449275362319,1.173913043478261,0.5362318840579711,0.18840579710144928,1.0869565217391304,1.4927536231884058,9.246376811594203,10.5,0.505,0.346,0.301,2.700,12.800,7.600,8.100,1.200,0.700,10.600,20.300,-0.2,0.9,0.7,0.022,-2.4,-1.2,-3.6,-0.6
201145,Jeff Green,16,2017-18,CLE,31.0,78,14,1828.0,295,618,0.477,53,170,0.312,203,234,0.868,60,186,246,99,41,34,75,149,846,23.435897435897434,3.782051282051282,7.923076923076923,0.6794871794871795,2.1794871794871793,2.6025641025641026,3.0,0.7692307692307693,2.3846153846153846,3.1538461538461537,1.2692307692307692,0.5256410256410257,0.4358974358974359,0.9615384615384616,1.9102564102564104,10.846153846153847,14.8,0.587,0.275,0.379,3.700,11.200,7.600,8.000,1.100,1.600,9.400,19.300,3.1,0.8,3.9,0.103,-0.3,-1.5,-1.8,0.1
201145,Jeff Green,17,2018-19,WAS,32.0,77,44,2097.0,326,687,0.475,111,320,0.347,183,206,0.888,57,252,309,137,43,39,101,160,946,27.233766233766232,4.233766233766234,8.922077922077921,1.4415584415584415,4.1558441558441555,2.3766233766233764,2.675324675324675,0.7402597402597403,3.272727272727273,4.012987012987013,1.7792207792207793,0.5584415584415584,0.5064935064935064,1.3116883116883118,2.0779220779220777,12.285714285714286,13.6,0.608,0.466,0.300,2.900,13.300,8.000,9.200,1.000,1.600,11.500,17.800,2.8,0.8,3.6,0.083,0.0,-1.4,-1.4,0.3
201145,Jeff Green,18,2019-20,UTA,33.0,30,2,553.0,75,195,0.385,34,104,0.327,49,63,0.778,14,67,81,20,12,10,27,46,233,18.433333333333334,2.5,6.5,1.1333333333333333,3.466666666666667,1.6333333333333333,2.1,0.4666666666666667,2.2333333333333334,2.7,0.6666666666666666,0.4,0.3333333333333333,0.9,1.5333333333333334,7.766666666666667,13.7,0.590,0.532,0.265,2.700,12.000,7.500,7.900,1.300,1.700,9.900,19.000,1.2,0.9,2.1,0.104,0.0,-0.1,-0.1,0.5
201145,Jeff Green,19,2019-20,HOU,33.0,18,2,407.0,84,149,0.564,28,79,0.354,24,28,0.857,10,42,52,30,14,9,15,43,220,22.61111111111111,4.666666666666667,8.277777777777779,1.5555555555555556,4.388888888888889,1.3333333333333333,1.5555555555555556,0.5555555555555556,2.3333333333333335,2.888888888888889,1.6666666666666667,0.7777777777777778,0.5,0.8333333333333334,2.388888888888889,12.222222222222221,10.0,0.523,0.533,0.323,2.900,12.900,8.100,5.200,1.100,1.500,10.800,19.700,0.0,0.5,0.5,0.046,-1.9,-0.2,-2.1,0.0
201145,Jeff Green,20,2019-20,TOT,33.0,48,4,960.0,159,344,0.462,62,183,0.339,73,91,0.802,24,109,133,50,26,19,42,89,453,20.0,3.3125,7.166666666666667,1.2916666666666667,3.8125,1.5208333333333333,1.8958333333333333,0.5,2.2708333333333335,2.7708333333333335,1.0416666666666667,0.5416666666666666,0.3958333333333333,0.875,1.8541666666666667,9.4375,18.6,0.682,0.530,0.188,2.600,10.900,6.700,11.500,1.600,1.900,8.500,17.900,1.2,0.4,1.5,0.183,2.5,0.1,2.6,0.5
201145,Jeff Green,21,2020-21,BKN,34.0,68,38,1835.0,261,530,0.492,103,250,0.412,125,161,0.776,34,229,263,108,36,27,54,122,750,26.985294117647058,3.838235294117647,7.794117647058823,1.5147058823529411,3.676470588235294,1.838235294117647,2.3676470588235294,0.5,3.3676470588235294,3.8676470588235294,1.588235294117647,0.5294117647058824,0.39705882352941174,0.7941176470588235,1.7941176470588236,11.029411764705882,13.0,0.624,0.472,0.304,2.200,13.100,7.900,7.800,0.900,1.300,8.200,15.600,2.9,1.2,4.1,0.107,0.0,-0.9,-0.8,0.5
201145,Jeff Green,22,2021-22,DEN,35.0,75,63,1849.0,277,529,0.524,53,168,0.315,165,198,0.833,41,190,231,96,28,27,71,151,772,24.653333333333332,3.6933333333333334,7.053333333333334,0.7066666666666667,2.24,2.2,2.64,0.5466666666666666,2.533333333333333,3.08,1.28,0.37333333333333335,0.36,0.9466666666666667,2.013333333333333,10.293333333333333,12.5,0.627,0.318,0.374,2.600,11.100,7.000,7.300,0.700,1.300,10.300,16.300,2.7,1.2,3.9,0.101,-1.2,-1.3,-2.5,-0.2
201145,Jeff Green,23,2022-23,DEN,36.0,56,4,1091.0,160,328,0.488,30,104,0.288,87,117,0.744,38,106,144,69,18,17,46,99,437,19.482142857142858,2.857142857142857,5.857142857142857,0.5357142857142857,1.8571428571428572,1.5535714285714286,2.0892857142857144,0.6785714285714286,1.8928571428571428,2.5714285714285716,1.2321428571428572,0.32142857142857145,0.30357142857142855,0.8214285714285714,1.7678571428571428,7.803571428571429,11.0,0.576,0.317,0.357,4.100,10.900,7.600,8.300,0.800,1.400,10.800,17.000,0.8,0.8,1.7,0.074,-2.4,-1.0,-3.4,-0.4
201145,Jeff Green,24,2023-24,HOU,37.0,78,6,1307.0,167,366,0.456,53,160,0.331,122,149,0.819,46,132,178,70,16,31,46,100,509,16.756410256410255,2.141025641025641,4.6923076923076925,0.6794871794871795,2.051282051282051,1.564102564102564,1.9102564102564104,0.5897435897435898,1.6923076923076923,2.282051282051282,0.8974358974358975,0.20512820512820512,0.3974358974358974,0.5897435897435898,1.2820512820512822,6.5256410256410255,11.3,0.590,0.437,0.407,3.700,10.900,7.300,7.300,0.600,2.200,9.600,15.500,1.4,1.2,2.6,0.095,-1.6,-0.4,-2.1,0.0
