SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
1,2022-23,MIN,20.0,15,0,96.0,18,36,0.5,2,6,0.333,8,8,1.0,5,20,25,5,4,6,3,10,46,6.4,1.2,2.4,0.13333333333333333,0.4,0.5333333333333333,0.5333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.26666666666666666,0.4,0.2,0.6666666666666666,3.066666666666667
2,2023-24,MIN,21.0,32,0,91.0,17,36,0.472,4,10,0.4,12,14,0.857,4,13,17,8,5,5,2,10,50,2.84375,0.53125,1.125,0.125,0.3125,0.375,0.4375,0.125,0.40625,0.53125,0.25,0.15625,0.15625,0.0625,0.3125,1.5625
3,2024-25,MIN,22.0,33,0,224.0,32,71,0.451,7,31,0.226,11,13,0.846,9,28,37,14,12,11,8,27,82,6.787878787878788,0.9696969696969697,2.1515151515151514,0.21212121212121213,0.9393939393939394,0.3333333333333333,0.3939393939393939,0.2727272727272727,0.8484848484848485,1.121212121212121,0.42424242424242425,0.36363636363636365,0.3333333333333333,0.24242424242424243,0.8181818181818182,2.484848484848485
